epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.222,1.60207,1.68762,1.15926,0.85119,0.48806,0.52611,0.2968,1.43324,1.15533,1.12843,0.000475857,0.000475857,0.000475857
2,849.082,1.52087,1.2299,1.13451,0.85099,0.48131,0.52416,0.3012,1.3854,1.16041,1.12413,0.000905057,0.000905057,0.000905057
3,1169.23,1.5072,1.14035,1.12883,0.89602,0.50265,0.55509,0.31672,1.36751,0.95279,1.10917,0.0012871,0.0012871,0.0012871
4,1474.26,1.48021,1.08205,1.12367,0.89533,0.5144,0.56698,0.33192,1.35399,0.8839,1.08708,0.00121679,0.00121679,0.00121679
5,1804.98,1.44712,1.02815,1.11469,0.89969,0.5128,0.56252,0.33053,1.37732,0.88009,1.10523,0.00114606,0.00114606,0.00114606
6,2147.09,1.42552,0.99758,1.10704,0.92557,0.52409,0.58892,0.34502,1.35962,0.8176,1.0976,0.00107532,0.00107532,0.00107532
7,2429.62,1.41583,0.95887,1.09727,0.90841,0.52861,0.57841,0.34961,1.30624,0.80361,1.07969,0.00100459,0.00100459,0.00100459
8,2722.09,1.39197,0.94754,1.0929,0.93037,0.52565,0.59002,0.35938,1.31814,0.77322,1.07924,0.000933851,0.000933851,0.000933851
9,3039.36,1.36179,0.89536,1.08011,0.93734,0.53475,0.59521,0.36877,1.28198,0.75093,1.06842,0.000863116,0.000863116,0.000863116
10,3338.32,1.35635,0.87953,1.07428,0.92436,0.54654,0.59807,0.36839,1.27569,0.74182,1.06002,0.00079238,0.00079238,0.00079238
11,3642.24,1.32033,0.78349,1.07435,0.92602,0.54713,0.60008,0.3691,1.26634,0.72617,1.06373,0.000721645,0.000721645,0.000721645
12,3916.76,1.29599,0.75373,1.0609,0.92742,0.54762,0.60031,0.3711,1.26209,0.72583,1.05726,0.000650909,0.000650909,0.000650909
13,4275.97,1.2884,0.7327,1.05552,0.92741,0.55217,0.60425,0.36768,1.26735,0.71162,1.05461,0.000580174,0.000580174,0.000580174
14,4605.51,1.26658,0.72084,1.04671,0.93215,0.55404,0.60447,0.37597,1.25384,0.69168,1.04929,0.000509438,0.000509438,0.000509438
15,4970.45,1.25791,0.69503,1.04325,0.92902,0.56016,0.60542,0.3773,1.24495,0.6791,1.0418,0.000438703,0.000438703,0.000438703
16,5291.18,1.24671,0.68464,1.03741,0.93175,0.55564,0.60845,0.3815,1.23778,0.67724,1.04086,0.000367967,0.000367967,0.000367967
17,5661.15,1.2277,0.66896,1.02941,0.93405,0.55841,0.61224,0.38846,1.2153,0.65832,1.0357,0.000297232,0.000297232,0.000297232
18,5941.38,1.22099,0.66019,1.02514,0.92752,0.56356,0.61061,0.38739,1.21516,0.65069,1.03492,0.000226497,0.000226497,0.000226497
19,6223.26,1.2084,0.64567,1.01796,0.92838,0.57109,0.61359,0.38742,1.21086,0.64352,1.02948,0.000155761,0.000155761,0.000155761
20,6516.25,1.19875,0.63506,1.01769,0.93085,0.56856,0.61495,0.39144,1.2024,0.63326,1.02673,8.50255e-05,8.50255e-05,8.50255e-05
